"","X.W..Pollock.model","X.W..Pollock.species","X.W..Pollock.type","X.W..Pollock.year","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.model","P..Cod.species","P..Cod.type","P..Cod.year","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.model","Arrowtooth.species","Arrowtooth.type","Arrowtooth.year","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"22","mode"," W. Pollock","M2",2000,1.23883,0.0623118,0.0302461,0.016039,0.00498344,0.00509633,0.00525271,0.00443978,0.00622576,0,0.0014197,0.00326769,"mode","P. Cod","M2",2000,0.267094,0.0453154,0.00259571,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2000,0.41496,0.0198841,0.0227144,0.002065,0.00366336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","mode"," W. Pollock","M2",2001,1.18407,0.0547425,0.026972,0.0154085,0.0044816,0.0053,0.00480594,0.00569327,0.00638907,0,0.00236563,0.00267628,"mode","P. Cod","M2",2001,0.294171,0.0299337,0.00120039,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2001,0.333183,0.019402,0.026216,0.00368604,0.00487973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","mode"," W. Pollock","M2",2002,1.18856,0.053023,0.0253933,0.0146741,0.00428794,0.00456401,0.00454352,0.00461402,0.00572055,0,0.00146215,0.00301645,"mode","P. Cod","M2",2002,0.222684,0.0367546,0.00161322,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2002,0.317165,0.0258761,0.0236407,0.00268725,0.00322091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","mode"," W. Pollock","M2",2003,1.35649,0.0634943,0.0306692,0.0185306,0.00515919,0.00583686,0.00636649,0.00678313,0.00852415,0,0.00282041,0.00378696,"mode","P. Cod","M2",2003,0.325943,0.0431092,0.00145606,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2003,0.435743,0.0246612,0.0255663,0.00436838,0.00658547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","mode"," W. Pollock","M2",2004,1.30189,0.0741878,0.0371079,0.019781,0.00548193,0.00567821,0.00630915,0.00596603,0.00809693,0,0.00189139,0.00325747,"mode","P. Cod","M2",2004,0.308107,0.0451736,0.0020378,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2004,0.411396,0.0166459,0.0237955,0.00400903,0.006112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","mode"," W. Pollock","M2",2005,1.35607,0.0867256,0.0474361,0.0258598,0.00828309,0.00892782,0.00849743,0.0100163,0.0101513,0,0.00414506,0.0046444,"mode","P. Cod","M2",2005,0.397979,0.057349,0.00207853,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2005,0.39717,0.01807,0.0446706,0.00583843,0.00813355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","mode"," W. Pollock","M2",2006,1.23336,0.080074,0.0447069,0.0226057,0.00586197,0.00692325,0.0065446,0.00653936,0.00793483,0,0.0028211,0.00478983,"mode","P. Cod","M2",2006,0.251434,0.0611711,0.00230218,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2006,0.394811,0.021934,0.0258473,0.00338757,0.00419083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","mode"," W. Pollock","M2",2007,1.3451,0.0847478,0.0488837,0.025361,0.00656643,0.00731453,0.00845561,0.00860207,0.0112036,0,0.00310391,0.00430031,"mode","P. Cod","M2",2007,0.373219,0.0504646,0.00268068,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2007,0.476206,0.0195105,0.0274716,0.00659208,0.0101605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","mode"," W. Pollock","M2",2008,1.44021,0.0769306,0.0363719,0.0221159,0.00593321,0.00658171,0.00649432,0.00671643,0.00787457,0,0.00186853,0.00339915,"mode","P. Cod","M2",2008,0.31623,0.0475406,0.00174622,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2008,0.459735,0.0403063,0.0270266,0.00493736,0.00601826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","mode"," W. Pollock","M2",2009,1.31798,0.0779419,0.03896,0.0213375,0.00630721,0.00768799,0.00628333,0.00838091,0.00737937,0,0.00351829,0.00407237,"mode","P. Cod","M2",2009,0.392365,0.0454852,0.00156593,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2009,0.53414,0.0239046,0.0354811,0.00570731,0.00502003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","mode"," W. Pollock","M2",2010,1.24003,0.067666,0.0324564,0.0186042,0.00551724,0.00609433,0.00552883,0.00685173,0.0064371,0,0.00228656,0.00365176,"mode","P. Cod","M2",2010,0.339083,0.0411472,0.00276566,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",2010,0.482144,0.0388481,0.0292787,0.00589703,0.0034085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
