"","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"21",1.311,0.3547252,0.3261444,0.3155646,0.30436325,0.30555194,0.3049544,0.3055156,0.30674541,0.3001,0.30287461,0.3029369,0.663318,0.4117149,0.380603961,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.672659,0.2868962,0.2854634,0.25574483,0.25357556,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"22",1.24893,0.3624118,0.3303461,0.316139,0.30508344,0.30519633,0.30535271,0.30453978,0.30632576,0.3001,0.3015197,0.30336769,0.647194,0.4254154,0.38269571,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.68446,0.2837841,0.2812144,0.255365,0.25186336,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"23",1.19417,0.3548425,0.327072,0.3155085,0.3045816,0.3054,0.30490594,0.30579327,0.30648907,0.3001,0.30246563,0.30277628,0.674271,0.4100337,0.38130039,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.602683,0.283302,0.284716,0.25698604,0.25307973,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"24",1.19866,0.353123,0.3254933,0.3147741,0.30438794,0.30466401,0.30464352,0.30471402,0.30582055,0.3001,0.30156215,0.30311645,0.602784,0.4168546,0.38171322,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.586665,0.2897761,0.2821407,0.25598725,0.25142091,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"25",1.36659,0.3635943,0.3307692,0.3186306,0.30525919,0.30593686,0.30646649,0.30688313,0.30862415,0.3001,0.30292041,0.30388696,0.706043,0.4232092,0.38155606,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.705243,0.2885612,0.2840663,0.25766838,0.25478547,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"26",1.31199,0.3742878,0.3372079,0.319881,0.30558193,0.30577821,0.30640915,0.30606603,0.30819693,0.3001,0.30199139,0.30335747,0.688207,0.4252736,0.3821378,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.680896,0.2805459,0.2822955,0.25730903,0.254312,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"27",1.36617,0.3868256,0.3475361,0.3259598,0.30838309,0.30902782,0.30859743,0.3101163,0.3102513,0.3001,0.30424506,0.3047444,0.778079,0.437449,0.38217853,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.66667,0.28197,0.3031706,0.25913843,0.25633355,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"28",1.24346,0.380174,0.3448069,0.3227057,0.30596197,0.30702325,0.3066446,0.30663936,0.30803483,0.3001,0.3029211,0.30488983,0.631534,0.4412711,0.38240218,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.664311,0.285834,0.2843473,0.25668757,0.25239083,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"29",1.3552,0.3848478,0.3489837,0.325461,0.30666643,0.30741453,0.30855561,0.30870207,0.3113036,0.3001,0.30320391,0.30440031,0.753319,0.4305646,0.38278068,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.745706,0.2834105,0.2859716,0.25989208,0.2583605,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"30",1.45031,0.3770306,0.3364719,0.3222159,0.30603321,0.30668171,0.30659432,0.30681643,0.30797457,0.3001,0.30196853,0.30349915,0.69633,0.4276406,0.38184622,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.729235,0.3042063,0.2855266,0.25823736,0.25421826,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"31",1.32808,0.3780419,0.33906,0.3214375,0.30640721,0.30778799,0.30638333,0.30848091,0.30747937,0.3001,0.30361829,0.30417237,0.772465,0.4255852,0.38166593,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.80364,0.2878046,0.2939811,0.25900731,0.25322003,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"32",1.25013,0.367766,0.3325564,0.3187042,0.30561724,0.30619433,0.30562883,0.30695173,0.3065371,0.3001,0.30238656,0.30375176,0.719183,0.4212472,0.38286566,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.751644,0.3027481,0.2877787,0.25919703,0.2516085,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
