#Covars (covariate phase for each covs - do not alter this line)
# Winter_pH_depthavg # Spring_vNorth_surface5m # Spring_uEast_surface5m # Winter_temp_surface5m # Spring_temp_surface5m # Summer_temp_surface5m # Fall_temp_surface5m # Winter_temp_bottom5m # Spring_temp_bottom5m # Summer_temp_bottom5m # Fall_temp_bottom5m # annual_temp_surface5m # annual_temp_bottom5m # Winter_NE_winds # Spring_NE_winds # Summer_NE_winds # Fall_NE_winds # annual_NE_winds # Summer_fracbelow1 # Summer_fracbelow2 # Spring_PhL_integrated # Spring_PhS_integrated # Winter_oxygen_bottom5m # Spring_oxygen_bottom5m # Summer_oxygen_bottom5m # Fall_oxygen_bottom5m # Winter_Cop_integrated # Spring_Cop_integrated # Summer_Cop_integrated # Fall_Cop_integrated # Winter_EupS_integrated # Spring_EupS_integrated # Summer_EupS_integrated # Fall_EupS_integrated # Winter_NCaS_integrated # Spring_NCaS_integrated # Summer_NCaS_integrated # Fall_NCaS_integrated # Winter_largeZoop_integrated # Spring_largeZoop_integrated # Summer_largeZoop_integrated # Fall_largeZoop_integrated
#nspp2 : 
3
#nTyrs : number years for the zooplankton hindcast data 
45
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
#ncov : number of covariates 
42
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
2.15787 0.9581921 1.266051 0.5816596 0.8308513 -0.4034068 0.1563881 -0.2383508 1.031649 -0.02036893 0.4539567 0.1091652 -0.3629577 -1.172661 0.8605537 -0.05427678 -1.053408 0.143379 -0.7071805 0.3688935 -1.323496 -0.5682833 0.2734092 0.03298567 1.083011 0.3275642 0.4579094 -0.6988987 -1.320868 -1.732443 -1.622992 -1.19447 -1.064669 -2.2801 -0.959051 0.7439638 0.8088159 2.08031 -0.05368733 1.221951 1.31654 -0.4623303 0.02882971 1.069577e-16 1.069577e-16
# Winter_NE_winds : Winter_NE_winds
0.6828551 -0.09983975 -0.3351652 1.089638 -1.506622 -2.362374 -0.001830164 -1.731207 -0.1230552 -0.9873899 1.932279 0.05697436 -0.309567 -1.009293 0.7976872 -0.7866716 -0.6282896 0.9204322 -0.6934058 -0.3257422 0.2219361 0.747702 0.6148285 0.546766 -0.7470466 -0.06471694 0.4644487 0.6895902 -0.04527257 -0.782641 0.2639445 -1.493678 1.095911 -0.7525019 -0.01790104 -0.4104368 -0.9944636 -0.6275068 0.2688559 1.843927 2.707821 0.9147622 0.9762567 -9.864979e-17 -9.864979e-17
# Spring_NE_winds : Spring_NE_winds
1.69315 0.1972087 0.08845059 1.311708 0.1806338 -1.057436 -0.2131447 -0.1629076 -1.366458 0.09719355 0.9186501 -0.13672 -1.071174 0.6531447 -1.565615 -2.389881 -0.8374845 0.006950417 0.8165054 1.325643 0.04507 -0.1608624 -0.6891803 1.244949 1.880325 1.439966 -0.4216556 -1.454954 -2.303524 0.1804021 0.6724848 -0.1943164 0.1570254 -1.459785 -0.5184811 -0.380914 0.4825738 0.2112016 0.5604512 0.4955984 -0.2341219 1.361796 0.5975334 -3.759786e-17 -3.759786e-17
# Summer_NE_winds : Summer_NE_winds
0.5877699 -0.9672046 -0.8762933 0.002583913 -0.03399566 -0.3688211 0.905748 1.931379 0.1639119 -0.1651386 1.375024 1.584146 -1.338496 -0.2232948 0.4533697 0.8443427 -0.5436569 -0.3958365 -0.989906 -0.56544 1.21328 0.488938 -0.7488617 -0.6027249 -0.9577798 0.4365453 0.6129486 -0.8873089 0.9913856 -2.045965 -0.6659798 1.232382 -1.192933 -0.3354724 -0.6260859 -0.8633033 -0.4868738 -0.6517675 -1.280501 1.403926 1.494145 -0.3344733 2.42629 2.54258e-17 2.54258e-17
# Fall_NE_winds : Fall_NE_winds
0.2308527 -0.5799247 -0.2506269 0.184783 0.6578399 1.233701 1.033387 -1.559324 0.156507 -1.527523 0.2200164 0.1085591 -0.4473199 -0.1196491 1.698047 0.5503642 -0.4942109 0.2037056 -1.843176 0.3936221 -1.955354 1.024167 -1.092386 -0.6350599 1.576461 0.4602768 -1.936612 -0.3445675 -0.09657282 -1.060249 -0.3391209 -1.035829 0.93813 -1.40883 0.5933507 1.197406 0.5398452 1.901817 1.326921 -0.929862 0.3568723 0.7333887 0.3361786 6.682657e-17 6.682657e-17
# annual_NE_winds : annual_NE_winds
1.346725 -0.6215772 -0.6140618 1.164015 -0.4802465 -1.290964 0.7160744 -1.093 -0.4212259 -1.317643 2.007644 0.7164078 -1.25462 -0.5201036 0.8618536 -0.7342204 -1.09469 0.4880664 -1.343641 0.2224436 -0.3141516 1.029935 -0.6354539 0.2261712 0.5600578 0.8120666 -0.5419613 -0.5897633 -0.4078773 -1.643024 -0.02461053 -0.9806209 0.6789073 -1.664883 -0.1585788 -0.154028 -0.3859355 0.3193268 0.5066172 1.360249 2.247883 1.205077 1.817362 -4.543564e-18 -4.543564e-18
# Summer_fracbelow1 : Summer_fracbelow1
-1.291206 -0.7847777 -0.8987053 -1.093571 -0.6629794 1.171681 -0.008312006 0.7853952 -0.6208033 -0.4832089 -1.203389 -0.2705732 0.3752505 1.61898 -0.5724687 0.5053583 0.8400677 -0.8223631 0.02747761 -1.014136 0.9995643 0.03957284 -0.3471355 -0.538739 -0.9934102 -0.2421818 -0.1012988 0.8524244 1.882779 1.113492 1.529895 1.446706 0.6706657 2.902212 0.8390969 -0.7872693 0.1371735 -0.6020838 0.1066077 -1.362474 -1.21319 -0.7283254 -1.201797 -1.233393e-16 -1.233393e-16
# Summer_fracbelow2 : Summer_fracbelow2
-1.493981 -1.001915 -0.9915186 -1.046078 -0.6939224 0.7188875 0.1932999 0.4121524 -0.7613702 -0.4809334 -1.217824 -0.4731156 -0.01741416 1.26497 -0.7513243 -0.02385238 1.217137 -0.5840466 0.8472027 -0.8552883 1.296061 0.2732919 -0.1373075 -0.3553266 -1.084446 -0.2459301 -0.4452159 0.7726779 1.694415 1.512064 1.890078 1.414651 0.6614891 2.314512 0.9974695 -0.6601631 -0.06131207 -0.8756566 0.249461 -1.607424 -1.235338 0.5264272 -1.155545 -1.139572e-16 -1.139572e-16
# Spring_PhL_integrated : Spring_PhL_integrated
-0.01629844 -0.9677464 0.655507 0.9630705 -0.7445964 0.8580086 -0.8350335 -0.3867643 -0.9183571 -0.2674842 -1.755308 -0.225286 -0.7231747 -1.205917 -0.428017 -1.701874 -0.9349417 -1.527894 1.453456 -0.0732739 0.4554325 0.3810735 -1.524655 1.622302 -0.5369216 -0.3120421 -1.360728 -0.4338075 0.6840605 1.661695 -0.3126596 -0.5372373 1.420786 -0.4107564 0.9123774 0.9785021 0.91472 -0.5308141 0.9000733 1.939742 0.5281864 1.088273 1.254321 3.699348e-16 3.699348e-16
# Spring_PhS_integrated : Spring_PhS_integrated
-0.02131407 0.121041 -0.2921326 0.7624721 -0.4564191 -0.9984473 -0.05788024 -0.06725061 1.37194 0.4341431 0.4962539 0.1460703 -0.5762994 0.8247724 0.479465 -0.9231503 -1.313382 1.344849 0.2664742 -0.2002712 -1.506204 1.271627 0.7198671 1.183463 0.6392772 0.2358989 1.763837 0.11644 -0.8620374 -1.795637 -1.529178 -1.122452 -2.503013 -1.348031 -0.7427868 0.5003248 0.463428 0.834976 -0.9260608 0.1530937 1.251956 -0.07238221 1.932661 3.10866e-16 3.10866e-16
# Winter_oxygen_bottom5m : Winter_oxygen_bottom5m
0.6437393 0.9111067 0.7550679 1.087081 1.099103 0.5085118 0.3953392 0.8941966 0.4664516 0.7849156 1.292561 0.9678225 1.323154 1.069621 1.498029 0.5761385 1.327512 0.2218434 0.6619012 0.1470204 -0.0005790559 0.1926803 -1.130434 0.5864394 -1.136505 0.02497762 -0.8770755 -0.2298467 -0.4353085 -0.2593957 -0.8082578 0.006974165 -0.09067564 0.3514907 -1.876699 -2.328083 -1.008902 -1.304169 -0.1750158 -1.979045 -1.690597 -1.231546 -1.231546 1.156672e-15 1.156672e-15
# Spring_oxygen_bottom5m : Spring_oxygen_bottom5m
-0.7169631 -0.2378426 -0.2011236 1.5024 -0.277236 0.877881 1.21259 0.9533514 -0.09720499 0.5188614 1.049807 0.7779064 0.6615719 1.10869 -0.05485832 0.5650682 1.308517 0.2205519 1.091639 -1.150333 0.7453417 0.6150103 0.1981072 -0.3218907 -1.04332 0.1048843 -0.05402166 0.1238775 0.6006862 -0.12137 -0.1418395 0.01991275 1.120904 0.6215742 -1.11413 -2.620215 -0.2384865 -1.826269 0.7811859 -2.595613 -1.725664 -1.120969 -1.120969 2.099474e-15 2.099474e-15
# Summer_oxygen_bottom5m : Summer_oxygen_bottom5m
-1.206323 0.1656619 -0.4732373 0.5809853 0.2232235 1.382748 1.585758 0.9743062 -0.1674609 0.7677408 0.8732533 0.7152146 0.9027263 1.414038 -0.4303132 0.8583877 1.550911 -0.1576041 1.03177 -1.583965 1.01786 0.3033509 0.2372908 -0.8285195 -1.501094 -0.1246154 -0.3341127 0.3156382 0.5840271 -0.2248318 0.4419731 0.5040937 0.3183608 0.732552 -0.742508 -2.117028 -0.7314578 -1.740345 0.6249523 -2.145627 -1.429136 -1.084323 -1.084323 1.152361e-15 1.152361e-15
# Fall_oxygen_bottom5m : Fall_oxygen_bottom5m
0.6010935 0.6742863 0.902883 1.03602 0.1346424 0.7504081 1.372216 0.5828128 0.8261001 1.110485 1.844114 1.416653 0.9667557 1.961371 0.2481029 1.322033 1.113533 0.4024229 0.6556355 -1.586202 -0.1171367 -0.5680158 0.1052571 -1.022111 -0.8897985 -0.4563059 -0.1610495 -0.8873975 -0.7378832 -0.6453359 0.1165298 -0.7474321 0.007716215 -0.1600333 -0.9809257 -1.376752 -0.8282063 -0.8560258 0.002836524 -2.004406 -1.896121 -1.116384 -1.116384 -7.527036e-16 -7.527036e-16
# Winter_Cop_integrated : Winter_Cop_integrated
-0.1516352 -0.6144342 -0.8042225 -0.67514 -0.7504251 -0.7859919 -0.6319755 -0.8070501 -0.003384388 -0.7874392 -0.6719518 -0.7880964 -0.678865 -0.744163 -0.2927158 -0.3404486 -0.6560224 0.1921765 -0.2023904 -0.6803263 -0.1763549 -0.09377957 -0.4582839 -0.2694406 1.09791 -0.1645639 0.03408147 -0.5901414 1.056486 4.764839 -0.1011625 -0.09085978 -0.552757 0.2076755 0.7904848 1.229503 -0.148364 0.2843262 -0.02679968 -0.2436164 1.037069 1.180886 2.107364 -3.176965e-17 -3.176965e-17
# Spring_Cop_integrated : Spring_Cop_integrated
0.8364299 0.1322761 0.6020576 0.5187992 -0.1222546 -0.4520411 0.001920794 -0.3516213 0.3482989 -1.213397 -0.1120585 -0.4835318 -0.4612908 -0.6583651 0.1678267 -1.368483 -1.452952 0.7674648 0.6921989 -0.4565585 -1.281099 0.2131964 -0.3022727 0.687259 0.7277917 0.3208748 -0.1725529 -0.6392363 -1.085446 -1.409446 -0.7406933 -0.6421766 -2.283975 -1.475001 0.9347256 1.586386 0.1668441 0.3089203 0.8602775 1.795149 2.628738 1.672762 1.194255 -3.180494e-17 -3.180494e-17
# Summer_Cop_integrated : Summer_Cop_integrated
-1.429201 0.001118507 -0.7053827 0.2619213 0.3960863 0.639823 0.4060876 0.8079183 -0.4900227 -0.009031375 -0.2984716 -0.8150237 -1.208079 -0.2373836 -1.514738 1.412427 0.1414298 -2.358499 -0.4033166 1.232478 0.7956284 1.022004 -0.1216089 -0.2355285 -1.337396 0.3382824 -0.002131995 0.7396556 1.797027 1.224136 1.436805 1.230782 1.718483 1.352671 0.1033226 -0.349272 -1.15356 -1.639858 -0.1265152 -0.5064335 -1.612489 0.2067223 -0.7108669 -3.102255e-16 -3.102255e-16
# Fall_Cop_integrated : Fall_Cop_integrated
