#Models
# hindcast # H16_CMIP5_CESM_BIO_rcp85 # H16_CMIP5_CESM_rcp45 # H16_CMIP5_CESM_rcp85 # H16_CMIP5_GFDL_BIO_rcp85 # H16_CMIP5_GFDL_rcp45 # H16_CMIP5_GFDL_rcp85 # H16_CMIP5_MIROC_rcp45 # H16_CMIP5_MIROC_rcp85 # K20P19_CMIP5_CESM_rcp45 # K20P19_CMIP5_CESM_rcp85 # K20P19_CMIP5_GFDL_rcp45 # K20P19_CMIP5_GFDL_rcp85 # K20P19_CMIP5_MIROC_rcp45 # K20P19_CMIP5_MIROC_rcp85 # K20P19_CMIP6_cesm_ssp126 # K20P19_CMIP6_cesm_ssp585 # K20P19_CMIP6_gfdl_ssp126 # K20P19_CMIP6_gfdl_ssp585 # K20P19_CMIP6_miroc_ssp126 # K20P19_CMIP6_miroc_ssp585
#nEatcovs
1
#Eat_covs
3
#n_fut_itr : number of future temperature simulations 
21
#nyrs_fut : (1, n_fut_itr) number years for the zooplankton data 
79
#fut_years : matrix(n_fut_itr,nyrs_fut) years for the zooplankton data 
2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099 2100
#ncov_fut : number of covariates 
61
0.7273187 0.6940118 0.2911213 -0.614276 -0.9761762 -1.364527 0.06055536 0.04932216 0.9770031 0.1928164 -1.172289 0.08635501 -0.5332733 -1.698371 -1.715331 -1.277839 -0.5909759 0.4876629 1.041618 -1.008086 0.4580638 -0.5485762 -0.3421153 -2.250822 -2.272912 -3.271008 -2.317494 -0.5836931 -3.862623 -2.690541 -3.334678 -3.478066 -2.617393 -3.278502 -4.007568 -4.3882 -3.24035 -4.877064 -2.955607 -3.612672 -3.549397 -2.239473 -4.043534 -4.368924 -4.308933 -3.073986 -2.231652 -4.961968 -6.608982 -3.919904 -5.108446 -5.516448 -4.570359 -5.234489 -6.623844 -5.377914 -4.929448 -5.343667 -6.180392 -6.846949 -6.398841 -6.415414 -4.529206 -6.924641 -6.290863 -4.701374 -3.472543 -4.486764 -5.2683 -5.768698 -7.262833 -6.29995 -4.536902 -4.380058 -5.571236 -6.298896 -6.384906 -5.093583 -5.093583
-0.8179494 -0.3068861 0.3448213 0.03385169 -1.020066 0.4535018 -0.02808458 1.086494 0.5630358 -0.6932827 1.563994 0.02800156 1.656968 1.901958 0.8137939 0.9370572 1.310053 -0.1327881 0.2090339 1.016055 -0.2275903 2.24473 -0.4592826 0.5632789 -1.177031 0.4012728 1.028499 -0.9702656 -0.9510478 -0.1559323 -0.0777917 0.7361457 0.07544455 1.639286 1.861468 -1.272782 -0.6281847 -0.9283707 -1.323396 -1.353545 -0.5299438 -0.6554086 0.05616219 0.2237118 -0.9884582 -0.1934512 -1.645483 0.7465605 -0.9522998 -0.4133772 0.2312414 1.054739 -0.8676476 -1.11549 -0.2598374 2.007237 -0.6896415 -1.295021 -1.603714 -1.26365 -1.146485 -1.258008 -1.502587 -0.6939636 -0.3155935 -0.9914346 -1.080545 -1.380018 -1.052373 -1.100985 -1.145431 -1.211307 -0.5668783 -1.339316 -1.518256 -2.052501 -1.340418 -1.09637 -1.09637
-0.2832217 1.363575 0.8975268 1.332833 0.4208371 1.151304 2.081914 0.4619007 0.4030446 0.03631847 1.750498 2.997198 1.669053 3.447707 -0.2097921 -0.3067874 0.9294162 0.006826221 -0.8266372 0.6371749 -0.4067053 -0.4407466 0.3272703 1.309025 -0.1679847 0.1946761 0.305954 -0.1859461 1.425099 1.533041 -0.1424609 0.2667522 -0.5895557 0.04362431 -0.4696472 0.155721 -0.07308261 -0.08878339 -0.7046174 -1.103023 -0.4840217 -1.143457 -0.2724658 -0.1566345 -0.4216359 1.093867 -1.146048 -1.40602 -0.5100055 -0.5979228 -0.8576972 -0.9886355 -0.6569616 1.292264 -0.8975789 -0.4494889 0.2560194 -0.9776817 -1.577732 -1.192832 -0.8601826 -0.9272942 -1.125226 -1.62339 -1.402611 -0.2219147 -0.8420636 -1.049415 -0.8591423 -1.156762 -0.9541857 -1.161393 -0.9420056 -0.6813207 -1.289086 -1.227297 -1.526101 -1.092476 -1.092476
-3.462045 -0.01035413 -1.71611 -1.66977 -3.427595 -3.669421 -2.454345 -5.302997 -5.486408 -6.377977 -2.851596 -5.578749 -5.898869 -4.378893 -5.724445 -4.282161 -4.775181 -4.495453 -5.330814 -7.196993 -6.040645 -5.59068 -4.398234 -6.18264 -6.732734 -8.823779 -6.280978 -5.973187 -5.184157 -7.060759 -6.339909 -7.305187 -8.671196 -7.171348 -6.844455 -5.17963 -6.910941 -5.739534 -5.373148 -5.339535 -3.123078 -4.087635 -4.923729 -7.306399 -3.619765 -3.81061 -4.941649 -6.394271 -6.341083 -5.374938 -4.232783 -4.343551 -7.254185 -7.546331 -3.705321 -3.532762 -2.706997 -2.932451 -5.784396 -5.958486 -5.468177 -8.920546 -6.770381 -4.600304 -5.776505 -5.533399 -7.039475 -4.420149 -8.784915 -6.177191 -6.209366 -5.584647 -4.466797 -6.911652 -8.202169 -7.952593 -9.371755 -9.774209 -9.774209
-2.398596 -1.349192 -1.049139 -1.580028 -1.021081 -1.412083 -2.478845 -2.869665 -3.051829 -5.191327 -4.562777 -5.035721 -4.52598 -3.588041 -3.565572 -4.309862 -2.857283 -2.764839 -4.007052 -4.112941 -4.289512 -4.844044 -5.599757 -4.624618 -4.295711 -2.822626 -1.62411 0.02924622 -0.5313208 -0.9870456 -1.578487 -1.360614 -2.152563 -2.778781 -3.000228 -2.701873 -3.577275 -3.742299 -2.348503 -4.05033 -3.353157 -1.702178 -3.194284 -3.842596 -3.962151 -4.525774 -5.406779 -5.51267 -5.808251 -2.851387 -4.011808 -5.586538 -5.802425 -6.2048 -5.928193 -5.215588 -6.148227 -5.763362 -6.590873 -6.809859 -5.710751 -5.426804 -6.451345 -6.267518 -8.285672 -7.05335 -6.203928 -6.423244 -6.663653 -7.163365 -6.888947 -5.255982 -5.722105 -5.136958 -5.683794 -4.724186 -4.449619 -6.264913 -6.264913
1.816715 1.135591 1.503494 0.5617816 1.017109 0.2417322 0.2520389 1.106645 1.097505 0.1467634 1.921789 1.774802 1.220056 0.3289673 1.211734 2.031507 0.9393163 0.9966215 0.1038828 1.737607 1.50206 2.086467 2.457986 1.037454 1.345579 1.474741 1.911587 2.422257 1.382354 2.126496 1.221994 1.637237 1.155402 1.427188 0.8694363 0.8341828 -0.2313494 -0.7644722 -0.9615436 -0.174016 -1.212775 -0.2706749 0.3419599 0.7768494 -0.143524 -0.2818199 -0.1082281 -0.1361604 0.3965911 0.6594574 0.5531446 1.430725 -0.1095015 0.05444154 0.5605681 0.5878033 0.5476898 -0.2544595 -0.001344429 0.1136538 0.1916366 0.4346494 0.2118245 1.155655 0.7214981 0.6652975 0.3467031 0.7027906 0.3882893 0.3748167 0.2265404 0.6018114 1.293106 1.708174 0.4934427 0.008511234 0.8553144 1.156452 1.156452
0.3009921 -0.03472922 1.712502 1.317207 0.615903 0.7670464 0.957343 2.032076 0.5545984 2.035965 2.319351 2.79524 4.012005 1.706563 2.00054 2.246635 1.466111 0.3927951 1.318046 1.590084 2.689511 1.515197 0.6653901 0.9417352 2.839671 3.46294 1.971984 0.1759789 0.2500423 0.941511 0.7115771 0.3170971 1.261851 1.23175 2.07486 0.5483793 -0.6944167 1.79639 0.9272927 1.341599 1.298755 0.2381769 -0.1559921 -0.003815631 0.07543839 0.4781234 0.835983 -0.7735051 -0.6483874 -0.4973807 0.4660147 -0.1320697 -0.2692563 -0.05247127 0.6231733 1.068365 -0.6834164 -0.6178508 -0.7274605 -0.2590726 0.03977732 -1.890943 -0.8730537 -0.7805887 0.04977911 -0.5471998 -0.9394214 -0.6490559 -0.8603985 -2.092258 -1.171317 -0.8511065 -1.352968 -2.049257 -1.838158 -1.747292 -1.718881 -1.877127 -1.877127
###########################################################
# fall_Cop_surface5m
-0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881 -0.7470881
