2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099
#ncov_fut : number of covariates 
42
###########################################################
#  | mn_Hind
#  | cesm_rcp45
#  | gfdl_rcp45
#  | miroc_rcp45
#  | cesm_rcp85
#  | gfdl_rcp85
#  | miroc_rcp85
#  | cesm_ssp126
#  | gfdl_ssp126
#  | miroc_ssp126
#  | cesm_ssp585
0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873 0.018873
-2.956864 -1.91287 1.284561 0.2905219 -0.5063622 -2.26904 -0.07195018 0.7602088 -2.875822 -1.836728 0.409437 -0.2262946 -1.76503 0.2851539 -1.118117 -2.118765 -0.4421516 1.248757 2.621897 -1.094681 0.07750759 -0.09165272 2.148917 1.4542 1.92854 -2.606407 0.118058 -2.130636 -0.8607909 -1.498048 -2.709864 -0.5437095 0.00597408 1.313539 -1.028359 -0.9959401 -1.606699 1.328522 2.473839 -3.020019 0.3722735 -1.168715 0.902401 -0.9197917 0.2531176 3.016558 -1.053064 1.439677 1.17296 -0.9386055 0.3673655 1.363603 1.862481 0.5753648 -0.8409191 -2.58333 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434 -1.009434
0.2364045 0.7038582 -0.04604155 -2.729766 0.2286823 -2.063919 -2.540279 0.6517917 -1.84844 -2.536188 -1.275291 -0.07192741 -0.503517 0.4325798 -0.9586718 -1.806839 -1.292072 -0.6915041 0.3701578 -3.353203 -0.006660008 0.3898352 -0.9833586 0.144849 -0.7740454 0.8288597 -2.041588 0.2491125 0.4412907 0.7142278 -1.779896 -2.020505 1.318364 0.5166846 -1.439291 -0.01401807 -0.5551537 0.4141662 -0.1244554 -1.746558 -0.05682027 -0.2724995 0.06308128 0.7236438 0.03690606 -1.115002 -1.736112 -1.066351 -3.056877 -0.3854549 -1.325262 -2.354203 -0.946806 -2.057995 1.452357 0.6774258 0.2174427 -0.4195787 -2.131879 -0.3998286 -2.974656 -1.418899 -0.6167858 -1.622601 -1.462982 0.4385012 -1.960335 1.008719 -0.1749046 -1.837807 -2.210873 -0.0519003 -1.100394 -2.115452 -3.610886 2.571732
1.881246 -0.3468087 0.4852742 0.7240106 1.011201 1.437395 0.6595204 1.754304 2.203368 0.6510555 2.753081 0.647233 2.331334 1.858965 0.9063432 2.584674 0.6693927 0.001593543 1.092927 3.326621 1.83839 2.300448 1.942056 2.02917 1.155617 2.334127 1.0563 0.5610975 -0.8870372 0.6676116 -0.7037309 0.3609395 -0.4775959 2.361676 0.8438836 0.3235759 2.258411 0.2834582 1.709022 -0.3023667 0.9306169 -0.6336732 -1.935533 1.984782 1.966364 1.973918 1.208549 2.576812 -0.1707552 0.3274186 -1.36008 1.586047 1.673758 1.040533 1.776218 -0.9259774 -0.422349 1.019536 -0.3258501 0.1639312 -1.369 0.780752 0.8124288 1.748048 1.1331 2.161685 1.267673 0.7816499 1.345456 3.083196 1.297739 0.8490976 -1.103628 2.639807 1.20306 4.030969
1.113597 0.6607993 0.567316 -1.561101 2.274234 -1.977976 -1.42521 -3.870751 -2.074242 1.356596 -1.409512 -4.004383 0.1346646 -0.9466268 0.4245006 -1.07093 -1.311701 -0.8457405 -2.955772 -1.707189 0.5569782 -3.108179 -1.299015 -1.219541 -1.778592 -0.6878335 0.2164089 1.008568 1.265476 -3.308293 0.5639375 1.789057 -1.084081 0.1459514 -2.536918 1.640958 1.715112 -2.708095 -0.5502161 1.425488 -0.5276339 0.701423 0.7517198 -0.2430709 2.698753 0.573533 -0.05289103 -0.8577715 0.9090752 0.6164498 0.2862674 -0.1866876 2.110682 0.777713 -0.1232809 0.3596279 2.366237 -0.7125726 2.628113 1.249282 1.151569 0.9113744 1.934074 0.5617898 1.882963 1.344336 1.004832 1.442595 0.3859633 0.9725877 2.55008 2.134643 0.5621337 -2.043189 4.34738 2.419645
0.3676123 1.145853 -0.2643088 -2.611564 0.4513698 0.6764714 -0.5875535 0.000108723 0.641387 -2.77043 -0.8777871 0.5167787 -0.2427435 -1.365823 -1.069958 0.53368 -0.4366503 -1.606845 -0.5966392 -0.5658177 1.725051 -0.1472488 -0.01597156 -2.460871 1.930167 -2.122694 0.7972954 1.481698 -1.183926 0.05104544 0.8986171 -0.8220043 -0.4121635 1.310844 1.306636 -1.252326 -2.084262 -0.5564975 0.2544149 0.8826293 -0.4702922 -2.778577 -0.4865332 0.3161021 -1.53025 1.795189 0.6146515 -1.641612 -0.02466491 -0.3015718 -1.223323 -0.1366106 0.9694648 -0.5484165 0.418074 0.2653015 0.752309 0.1888731 -0.3514764 0.07052237 -0.9920402 -1.058988 0.09215096 0.984545 0.5532316 -1.078335 0.4826454 -0.2334338 -1.644146 -0.8596297 -0.4905452 1.003006 -0.3933635 1.595653 -0.3508282 0.1097439
0.9720782 0.797824 0.6332131 -0.08312554 -0.5929332 -0.5313471 -1.125992 0.3780142 -2.300777 1.23787 1.676507 1.647618 0.2713963 0.07702515 0.4508032 -1.259278 -0.2734556 -2.131165 -1.048116 2.144814 -0.7237433 1.181692 -0.07087417 0.09712765 -0.3823218 1.113679 0.9004458 0.1181163 -0.2184119 0.05843585 1.392416 -0.265256 1.473345 1.290089 -0.9484975 0.5311507 0.4080649 -0.3851554 1.488643 0.1601221 2.548367 1.917327 -0.3327234 0.4608841 1.128988 1.154551 1.528904 2.127269 0.601521 2.862621 -0.4404423 -0.7848935 1.202103 0.5809211 1.322382 2.043775 0.01930987 1.566969 -0.3066791 -0.08886798 1.314643 1.034512 -0.8653034 -0.4734549 0.5792204 -0.5196515 0.7131758 2.239731 2.78384 1.848918 1.383468 0.461189 1.890457 -0.2204305 1.422549 0.3114788
0.2598156 -0.9356514 0.959958 -1.43492 1.983985 -1.481788 -0.3176815 0.00637838 -0.9164981 -0.4201348 -0.7941439 -0.4471646 -0.2635431 0.6945452 0.6541373 0.996619 0.1665751 -1.01571 0.4367052 -1.550456 2.191981 0.4136354 0.6200277 0.8815957 -0.1025692 0.7339148 -1.054149 0.3199046 -0.5674096 -2.779837 0.6253074 0.05815365 -1.083365 0.08573321 0.9625746 3.43888 1.39654 -1.284976 -0.8615179 0.1703962 -2.520735 0.3413873 2.093226 0.6691603 1.380848 0.1698822 0.198099 -0.6923696 -0.7838294 -0.717748 0.355049 -1.216336 0.8755183 0.06899976 0.7080113 0.2748396 2.018011 0.8430762 0.4149765 2.316015 -0.3303243 -1.068428 0.04729973 1.135772 1.564551 -1.182723 -0.44728 1.156348 -0.8083034 -0.9799629 -0.3629574 1.068624 -1.035275 0.87453 -0.1615607 -1.849078
-2.724168 1.769369 1.561218 -0.9609519 -2.673322 0.8359495 -1.069446 -0.4254726 -1.099661 1.080143 -0.8067903 -0.7501865 0.5800206 -0.4389937 0.6790179 -1.377867 -0.2206658 0.9759317 1.381652 -0.006851148 -0.5398775 0.4146466 -0.02085507 -1.368247 -0.177505 0.5634645 0.5070103 -1.070582 -1.138485 -1.300413 0.08894651 -1.517384 0.2217425 -1.733133 -1.273149 -0.2297251 0.2065465 1.368764 0.6297446 -0.5637843 0.8581087 -0.3904359 0.9861821 0.3608278 -1.449425 -0.6101356 -0.1976621 -0.8726944 -0.6566195 -0.172302 0.08123103 -0.6200843 -0.8037911 1.913246 -0.7777049 -1.552853 0.4615869 -0.3090784 1.716816 0.9528397 -1.839623 0.2903084 0.4191556 -0.3300652 2.163474 0.205784 0.6376468 -1.53793 -0.0407164 -0.1770714 -0.6052045 0.2607184 -1.150935 0.721788 -1.985065 0.20433
0.3369615 -1.256873 -0.4038292 2.527797 0.1705148 -0.1686955 -0.8015882 -1.868345 -0.6670511 -2.023995 0.0709882 -0.8630602 -0.8545899 -0.3118384 0.4000565 0.1911096 -2.942192 -1.582909 1.102181 0.6107473 0.1141587 0.6727099 -0.7233889 1.220881 -0.6387786 0.5118218 -1.211626 -2.535334 -1.058751 -2.310977 0.1583762 -1.926759 1.6419 0.1009823 0.1671468 0.1100473 -0.5899254 1.657134 2.427055 -0.8387751 -0.9217945 0.2576038 -1.006435 0.9831854 0.7135478 0.1487586 0.9756041 -1.144792 -0.4434748 -1.054174 0.4779956 0.7939793 0.05736079 0.4658463 0.0293543 1.701125 -0.4856658 -0.09004059 -0.2774299 1.4819 -0.5663414 -0.4428609 0.06680022 0.7120166 -0.9783749 -1.533355 0.3291196 0.4220212 -1.098463 -0.9596359 -1.098909 -0.7474192 0.6955115 0.3799733 -0.317291 -3.141722
