#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
-0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.324105 -0.3245313 -0.1282695 -0.3245313 -0.3245289 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.2622146 -0.3245313 -0.2612021 -0.3245313 -0.3245312 -0.3245313 -0.2644436 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.3245313 -0.324531
# srvy_rep_Ben :
2.115305 0.7639302 1.642403 0.4338048 1.244759 0.6254965 -0.9794116 -0.5140226 0.8943472 -0.5513454 0.7831487 -0.03200474 -0.1961806 -1.062054 1.035595 -0.02984069 -0.6563377 0.5263444 -0.01613749 0.6995519 -1.003206 0.6365732 0.1331514 0.9717743 0.5860166 0.4015875 0.2538894 -0.7338324 -0.5722691 -0.9035774 -1.316817 -0.7348007 -0.9940949 -1.499644 -0.1532285 1.296575 0.4625608 1.143414 -0.1099369 1.659158 1.358858 0.0137176 0.0137176 0.013717
# srvy_rep_Cop_integrated :
0.04147408 0.771506 0.1991143 1.637507 -0.04701867 1.152723 1.003991 0.6000289 0.3026027 0.9320596 0.2524034 -0.3302387 -0.3989242 -0.3731937 -0.1357286 1.023405 0.208952 -0.1904902 0.7750524 0.3085988 -0.5434362 0.4596364 1.094246 0.9674969 -0.509359 0.5205897 0.834514 1.626768 0.1235158 -2.716115 -1.620452 -0.810302 -0.01925067 -2.203945 0.4270436 -0.3346856 0.8607427 -0.3801366 0.1141051 -0.001726364 -0.2852704 0.2051823 0.2051823 0.205182
# srvy_rep_Cop_surface5m :
1.363554 0.3393833 -0.9152489 1.43578 -1.45985 -1.853471 0.583323 0.64628 0.6517318 0.9312643 0.6003116 -0.7467479 -0.141176 0.980257 0.5941435 0.6924303 -1.726481 1.397728 -1.556662 0.8832547 -0.9164947 0.2980882 0.9978177 0.5376364 0.9573784 -0.3655126 0.9495591 -0.01863158 -1.288265 -1.931356 -0.2696026 -0.3132824 -0.3008988 -2.384532 -0.1061454 -0.7903979 1.223078 0.02666139 -0.5053717 1.065321 -1.196019 -0.7688703 -0.7688703 -0.768870
# srvy_rep_DetBen :
0.3851271 0.2628217 -0.09368452 1.74218 -0.00681534 1.185143 -0.6160312 -0.3424208 0.180485 0.2889838 -0.2367403 0.517132 0.2247935 -0.4381649 0.6152484 -0.4456068 0.1014533 0.1402044 2.190271 1.090662 -1.513736 0.661091 -0.5351227 1.21965 1.230944 0.7057548 0.8345934 -0.718661 -0.6065126 -1.351087 -1.282369 -1.498434 0.2064924 -1.394599 0.2605607 1.435786 1.675489 0.3703473 1.304115 1.47756 0.1922741 1.458271 1.458271 1.45827
# srvy_rep_Eup_tot_integrated :
-0.06651991 0.7329948 0.1971442 1.649921 0.1968251 1.269209 0.861506 0.5971897 0.4873234 0.6097175 0.3770089 -0.01789477 -0.4507744 -0.366196 -0.1063916 0.6264509 0.009166304 0.0989233 0.816737 0.5319398 -0.7356175 0.7791628 1.21613 0.8952182 -0.4747324 0.5589424 0.7867743 1.507576 0.107898 -2.58194 -1.681743 -0.5820162 -0.5646324 -2.181285 0.6379042 -0.0323813 0.6792383 -0.411446 0.06462288 -0.02352727 -0.1505489 0.363293 0.363293 0.36329
# srvy_rep_Eup_tot_surface5m :
1.278408 0.4194106 -0.7739625 1.582802 -1.268748 -1.539973 0.5801003 0.6709216 0.8251357 0.6971944 0.6665537 -0.585606 -0.05132007 0.9106414 0.6205753 0.5102624 -1.658784 1.485478 -1.519437 1.058622 -1.113485 0.4499314 1.069872 0.5594321 0.8758409 -0.3372837 0.8834125 -0.000678737 -1.488986 -2.209297 -0.5814344 -0.3798248 -0.6666471 -2.68526 -0.06793828 -0.6214839 1.048888 -0.0880825 -0.4442439 1.015113 -1.131273 -0.7202926 -0.7202926 -0.720292
# srvy_rep_EupO_integrated :
0.003325814 0.7778241 0.2827507 1.586537 0.2252859 1.219327 0.8575607 0.5693709 0.4699619 0.6077911 0.3891173 0.03577299 -0.4442934 -0.4294165 0.04892571 0.6503461 -0.01366357 0.1451243 0.7822051 0.4314255 -0.7283258 0.7815838 1.295632 0.8952843 -0.3898075 0.6072705 0.7911857 1.427317 0.05395488 -2.648459 -1.695433 -0.6350289 -0.7271482 -2.175807 0.6345308 0.02929088 0.7416229 -0.2764881 0.07327283 0.06857991 -0.05852308 0.4047199 0.4047199 0.404719
# srvy_rep_EupO_surface5m :
1.284423 0.4137604 -0.7454839 1.522303 -1.254074 -1.567322 0.5751332 0.6895625 0.7896175 0.706658 0.6921152 -0.5641001 -0.08139212 0.9206654 0.6884109 0.5540729 -1.679141 1.458837 -1.530654 1.0082 -1.113905 0.4641195 1.108316 0.5566787 0.9641293 -0.2734785 0.9243374 -0.01665364 -1.483009 -2.232842 -0.5800813 -0.4164118 -0.7146376 -2.704155 -0.08394667 -0.5935228 1.114513 -0.02265659 -0.4126737 1.082936 -1.130573 -0.6878113 -0.6878113 -0.687811
# srvy_rep_EupS_integrated :
-0.1389736 0.6834893 0.1072626 1.70952 0.1664348 1.316224 0.8622787 0.6238382 0.5035108 0.609363 0.3629446 -0.07369499 -0.4557765 -0.2989646 -0.2676689 0.5991506 0.03289729 0.05044403 0.8495245 0.6345188 -0.7403611 0.7736266 1.128659 0.8916843 -0.5613038 0.5064681 0.7791366 1.585292 0.1636365 -2.502697 -1.660982 -0.5245758 -0.393264 -2.178545 0.6389468 -0.09645823 0.6116653 -0.5503479 0.05536794 -0.1193221 -0.2457673 0.3187604 0.3187604 0.318760
# srvy_rep_EupS_surface5m :
1.27125 0.4248858 -0.8025921 1.64367 -1.28283 -1.510718 0.5847506 0.6512738 0.8609506 0.6869447 0.639807 -0.6072251 -0.02041875 0.8996521 0.5504798 0.464908 -1.636613 1.511673 -1.506753 1.109551 -1.112196 0.4350239 1.029594 0.5618264 0.7845587 -0.4025044 0.8407317 0.01571619 -1.493973 -2.18343 -0.5823748 -0.3419842 -0.6168824 -2.663799 -0.05145712 -0.6497 0.9807298 -0.1551586 -0.4763006 0.9447258 -1.131119 -0.7530715 -0.7530715 -0.753071
# srvy_rep_hice :
-0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.2715971 -0.272538 -0.2331354 -0.272538 -0.2725379 -0.272538 -0.272538 -0.272538 -0.272538 -0.260125 -0.272538 -0.2661573 -0.272538 -0.272538 -0.272538 -0.2600396 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.272538 -0.27253
# srvy_rep_Hsbl :
-1.197402 -0.7103813 0.5439319 -0.7869803 1.634394 1.088396 0.3566893 -0.1559223 0.2649837 0.6817355 0.6290745 0.8891858 0.4109417 -0.6506834 -0.08372743 0.09289528 0.8311446 -1.543252 1.762681 -0.1846807 -0.1647626 0.5260412 0.6848636 0.5429829 -0.2125549 1.163532 0.8554606 0.06774733 1.458433 -0.3214881 -1.000739 -0.04824403 -1.172896 -0.07556277 -0.4083632 0.5881448 0.5651202 1.320683 0.8706041 0.3448158 0.6295139 0.5145289 0.5145289 0.514528
# srvy_rep_IceNH4 :
-0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.1758998 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2607192 -0.2949138 -0.2745828 -0.2949138 -0.2949138 -0.2949138 -0.2701534 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.2949138 -0.294913
# srvy_rep_IceNO3 :
-0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.2425557 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.2979348 -0.3123005 -0.2638278 -0.3123005 -0.3123005 -0.3123005 -0.2988647 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.3123005 -0.312300
# srvy_rep_IcePhL :
-0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.1708301 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.239726 -0.2982365 -0.2910136 -0.2982365 -0.2982365 -0.2982365 -0.2693066 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.2982365 -0.298236
# srvy_rep_Jel_integrated :
1.557813 0.6570871 1.444148 0.4038515 -0.1201266 0.810685 -0.2584978 -1.024073 1.103873 -0.4288205 0.3255872 0.02243222 -1.161563 -0.5207318 1.558379 1.109291 -1.48732 0.797198 0.1912945 -0.2610877 -0.5451846 0.08207773 0.3119308 0.6480644 1.511056 0.6609625 1.183736 -0.8191017 -0.26149 -0.6957803 0.003060116 -1.487534 -1.684103 -1.060039 1.004111 1.817547 0.3576675 1.197305 1.444631 1.649684 3.898296 1.534407 1.534407 1.53440
# srvy_rep_Jel_surface5m :
1.657742 0.43601 1.57337 -0.2134729 0.7025284 0.2962144 -0.5353327 -0.3588341 0.6524739 -0.5967504 0.5376879 0.4616438 -0.8980435 -0.5134242 1.737394 0.2894585 -0.8603434 1.225802 0.7652099 -0.04572864 -0.4236186 0.5693266 0.3094209 0.9284828 2.082915 1.796396 1.790172 -0.6548728 -0.9248372 -1.270852 -0.03814523 -1.222473 -1.867305 -1.688043 0.470167 1.968213 0.3448459 2.182192 1.41414 2.133015 3.515593 1.711958 1.711958 1.71195
# srvy_rep_MZL_integrated :
1.585331 0.9183779 0.3954996 1.976532 -0.2815396 -0.118279 0.6209534 0.1137801 0.8945421 0.7742983 0.5740687 -0.2662526 -0.6608869 -0.4517222 0.4350477 0.6844937 -0.8330481 0.5032299 0.3290554 0.6852848 -0.5342823 0.2516215 0.7720496 1.509602 0.6575747 0.6424613 1.608906 0.7107389 -0.5689955 -1.749982 -1.185812 -1.083972 -0.7128081 -2.376837 -0.3960247 -0.1073966 1.285133 0.6792926 0.09048343 1.148731 0.5024207 -0.08617889 -0.08617889 -0.0861788
# srvy_rep_MZL_surface5m :
1.894246 0.5309744 -0.8630101 1.515688 -1.205401 -1.794163 0.3054819 0.2698953 0.6911635 0.7682056 0.5978321 -0.6914001 -0.3034773 0.8014872 0.4713217 0.5813628 -1.595037 1.655083 -1.358144 0.9098993 -0.6256944 0.01182931 0.7011835 0.6399834 1.023027 -0.2991171 1.064382 -0.2604783 -1.098784 -1.21877 0.1078055 -0.3252868 -0.2396523 -1.837345 -0.2407964 -0.8096907 1.189281 0.3935466 -0.8261144 1.215063 -0.3476095 -0.913403 -0.913403 -0.91340
# srvy_rep_NCa_tot_integrated :
